n,k,t,scale,MW
DE0,ccgt,2021-01-29T21:00:00,1.0,492.0
DE0,ccgt,2021-01-30T00:00:00,1.0,492.0
DE0,ccgt,2021-01-30T03:00:00,1.0,1640.0
DE0,ccgt,2021-01-30T06:00:00,1.0,1640.0
DE0,ccgt,2021-01-30T09:00:00,1.0,492.0
DE0,ccgt,2021-01-30T12:00:00,1.0,492.0
DE0,ccgt,2021-01-30T15:00:00,1.0,492.0
DE0,ccgt,2021-01-30T18:00:00,1.0,492.0
DE0,ccgt,2021-01-30T21:00:00,1.0,492.0
DE0,ccgt,2021-01-31T00:00:00,1.0,492.0
DE0,ccgt,2021-01-31T03:00:00,1.0,492.0
DE0,ccgt,2021-01-31T06:00:00,1.0,1640.0
DE0,ccgt,2021-01-31T09:00:00,1.0,492.0
DE0,ccgt,2021-01-31T12:00:00,1.0,492.0
DE0,ccgt,2021-01-31T15:00:00,1.0,492.0
DE0,ccgt,2021-01-31T18:00:00,1.0,492.0
DE0,ccgt,2021-01-31T21:00:00,1.0,492.0
DE0,ccgt,2021-02-01T00:00:00,1.0,492.0
DE0,ccgt,2021-02-01T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-01T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-01T09:00:00,1.0,492.0
DE0,ccgt,2021-02-01T12:00:00,1.0,492.0
DE0,ccgt,2021-02-01T15:00:00,1.0,492.0
DE0,ccgt,2021-02-01T18:00:00,1.0,492.0
DE0,ccgt,2021-02-01T21:00:00,1.0,492.0
DE0,ccgt,2021-02-02T00:00:00,1.0,1640.0
DE0,ccgt,2021-02-02T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-02T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-02T09:00:00,1.0,492.0
DE0,ccgt,2021-02-02T12:00:00,1.0,492.0
DE0,ccgt,2021-02-02T15:00:00,1.0,492.0
DE0,ccgt,2021-02-02T18:00:00,1.0,492.0
DE0,ccgt,2021-02-02T21:00:00,1.0,1640.0
DE0,ccgt,2021-02-03T00:00:00,1.0,1640.0
DE0,ccgt,2021-02-03T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-03T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-03T09:00:00,1.0,492.0
DE0,ccgt,2021-02-03T12:00:00,1.0,492.0
DE0,ccgt,2021-02-03T15:00:00,1.0,492.0
DE0,ccgt,2021-02-03T18:00:00,1.0,492.0
DE0,ccgt,2021-02-03T21:00:00,1.0,1640.0
DE0,ccgt,2021-02-04T00:00:00,1.0,1640.0
DE0,ccgt,2021-02-04T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-04T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-04T09:00:00,1.0,492.0
DE0,ccgt,2021-02-04T12:00:00,1.0,492.0
DE0,ccgt,2021-02-04T15:00:00,1.0,492.0
DE0,ccgt,2021-02-04T18:00:00,1.0,492.0
DE0,ccgt,2021-02-04T21:00:00,1.0,1640.0
DE0,ccgt,2021-02-05T00:00:00,1.0,1640.0
DE0,ccgt,2021-02-05T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-05T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-05T09:00:00,1.0,492.0
DE0,ccgt,2021-02-05T12:00:00,1.0,492.0
DE0,ccgt,2021-02-05T15:00:00,1.0,492.0
DE0,ccgt,2021-02-05T18:00:00,1.0,492.0
DE0,ccgt,2021-02-05T21:00:00,1.0,492.0
DE0,ccgt,2021-02-06T00:00:00,1.0,1640.0
DE0,ccgt,2021-02-06T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-06T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-06T09:00:00,1.0,492.0
DE0,ccgt,2021-02-06T12:00:00,1.0,492.0
DE0,ccgt,2021-02-06T15:00:00,1.0,492.0
DE0,ccgt,2021-02-06T18:00:00,1.0,492.0
DE0,ccgt,2021-02-06T21:00:00,1.0,492.0
DE0,ccgt,2021-02-07T00:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T09:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T12:00:00,1.0,492.0
DE0,ccgt,2021-02-07T15:00:00,1.0,492.0
DE0,ccgt,2021-02-07T18:00:00,1.0,492.0
DE0,ccgt,2021-02-07T21:00:00,1.0,492.0
DE0,ocgt,2021-01-25T00:00:00,1.0,0.0
DE0,ocgt,2021-01-25T03:00:00,1.0,740.0
DE0,ocgt,2021-01-25T06:00:00,1.0,740.0
DE0,ocgt,2021-01-25T09:00:00,1.0,0.0
DE0,ocgt,2021-01-25T12:00:00,1.0,0.0
DE0,ocgt,2021-01-25T15:00:00,1.0,0.0
DE0,ocgt,2021-01-25T18:00:00,1.0,0.0
DE0,ocgt,2021-01-25T21:00:00,1.0,0.0
DE0,ocgt,2021-01-26T00:00:00,1.0,0.0
DE0,ocgt,2021-01-26T03:00:00,1.0,0.0
DE0,ocgt,2021-01-26T06:00:00,1.0,0.0
DE0,ocgt,2021-01-26T09:00:00,1.0,0.0
DE0,ocgt,2021-01-26T12:00:00,1.0,0.0
DE0,ocgt,2021-01-26T15:00:00,1.0,0.0
DE0,ocgt,2021-01-26T18:00:00,1.0,0.0
DE0,ocgt,2021-01-26T21:00:00,1.0,0.0
DE0,ocgt,2021-01-27T00:00:00,1.0,0.0
DE0,ocgt,2021-01-27T03:00:00,1.0,0.0
DE0,ocgt,2021-01-27T06:00:00,1.0,0.0
DE0,ocgt,2021-01-27T09:00:00,1.0,0.0
DE0,ocgt,2021-01-27T12:00:00,1.0,0.0
DE0,ocgt,2021-01-27T15:00:00,1.0,0.0
DE0,ocgt,2021-01-27T18:00:00,1.0,0.0
DE0,ocgt,2021-01-27T21:00:00,1.0,0.0
DE0,ocgt,2021-01-28T00:00:00,1.0,0.0
DE0,ocgt,2021-01-28T03:00:00,1.0,0.0
DE0,ocgt,2021-01-28T06:00:00,1.0,0.0
DE0,ocgt,2021-01-28T09:00:00,1.0,0.0
DE0,ocgt,2021-01-28T12:00:00,1.0,0.0
DE0,ocgt,2021-01-28T15:00:00,1.0,0.0
DE0,ocgt,2021-01-28T18:00:00,1.0,0.0
DE0,ocgt,2021-01-28T21:00:00,1.0,0.0
DE0,ocgt,2021-01-29T00:00:00,1.0,0.0
DE0,ocgt,2021-01-29T03:00:00,1.0,0.0
DE0,ocgt,2021-01-29T06:00:00,1.0,0.0
DE0,ocgt,2021-01-29T09:00:00,1.0,0.0
DE0,ocgt,2021-01-29T12:00:00,1.0,0.0
DE0,ocgt,2021-01-29T15:00:00,1.0,0.0
DE0,ocgt,2021-01-29T18:00:00,1.0,0.0
DE0,ocgt,2021-01-29T21:00:00,1.0,0.0
DE0,ocgt,2021-01-30T00:00:00,1.0,0.0
DE0,ocgt,2021-01-30T03:00:00,1.0,0.0
DE0,ocgt,2021-01-30T06:00:00,1.0,0.0
DE0,ocgt,2021-01-30T09:00:00,1.0,0.0
DE0,ocgt,2021-01-30T12:00:00,1.0,0.0
DE0,ocgt,2021-01-30T15:00:00,1.0,0.0
DE0,ocgt,2021-01-30T18:00:00,1.0,0.0
DE0,ocgt,2021-01-30T21:00:00,1.0,0.0
DE0,ocgt,2021-01-31T00:00:00,1.0,0.0
DE0,ocgt,2021-01-31T03:00:00,1.0,0.0
DE0,ocgt,2021-01-31T06:00:00,1.0,0.0
DE0,ocgt,2021-01-31T09:00:00,1.0,0.0
DE0,ocgt,2021-01-31T12:00:00,1.0,0.0
DE0,ocgt,2021-01-31T15:00:00,1.0,0.0
DE0,ocgt,2021-01-31T18:00:00,1.0,0.0
DE0,ocgt,2021-01-31T21:00:00,1.0,0.0
DE0,ocgt,2021-02-01T00:00:00,1.0,0.0
DE0,ocgt,2021-02-01T03:00:00,1.0,0.0
DE0,ocgt,2021-02-01T06:00:00,1.0,0.0
DE0,ocgt,2021-02-01T09:00:00,1.0,0.0
DE0,ocgt,2021-02-01T12:00:00,1.0,0.0
DE0,ocgt,2021-02-01T15:00:00,1.0,0.0
DE0,ocgt,2021-02-01T18:00:00,1.0,0.0
DE0,ocgt,2021-02-01T21:00:00,1.0,0.0
DE0,ocgt,2021-02-02T00:00:00,1.0,0.0
DE0,ocgt,2021-02-02T03:00:00,1.0,0.0
DE0,ocgt,2021-02-02T06:00:00,1.0,0.0
DE0,ocgt,2021-02-02T09:00:00,1.0,0.0
DE0,ocgt,2021-02-02T12:00:00,1.0,0.0
DE0,ocgt,2021-02-02T15:00:00,1.0,0.0
DE0,ocgt,2021-02-02T18:00:00,1.0,0.0
DE0,ocgt,2021-02-02T21:00:00,1.0,0.0
DE0,ocgt,2021-02-03T00:00:00,1.0,0.0
DE0,ocgt,2021-02-03T03:00:00,1.0,0.0
DE0,ocgt,2021-02-03T06:00:00,1.0,0.0
DE0,ocgt,2021-02-03T09:00:00,1.0,0.0
DE0,ocgt,2021-02-03T12:00:00,1.0,0.0
DE0,ocgt,2021-02-03T15:00:00,1.0,0.0
DE0,ocgt,2021-02-03T18:00:00,1.0,0.0
DE0,ocgt,2021-02-03T21:00:00,1.0,0.0
DE0,ocgt,2021-02-04T00:00:00,1.0,0.0
DE0,ocgt,2021-02-04T03:00:00,1.0,0.0
DE0,ocgt,2021-02-04T06:00:00,1.0,0.0
DE0,ocgt,2021-02-04T09:00:00,1.0,0.0
DE0,ocgt,2021-02-04T12:00:00,1.0,0.0
DE0,ocgt,2021-02-04T15:00:00,1.0,0.0
DE0,ocgt,2021-02-04T18:00:00,1.0,0.0
DE0,ocgt,2021-02-04T21:00:00,1.0,0.0
DE0,ocgt,2021-02-05T00:00:00,1.0,0.0
DE0,ocgt,2021-02-05T03:00:00,1.0,0.0
DE0,ocgt,2021-02-05T06:00:00,1.0,0.0
DE0,ocgt,2021-02-05T09:00:00,1.0,0.0
DE0,ocgt,2021-02-05T12:00:00,1.0,0.0
DE0,ocgt,2021-02-05T15:00:00,1.0,0.0
DE0,ocgt,2021-02-05T18:00:00,1.0,0.0
DE0,ocgt,2021-02-05T21:00:00,1.0,0.0
DE0,ocgt,2021-02-06T00:00:00,1.0,0.0
DE0,ocgt,2021-02-06T03:00:00,1.0,0.0
DE0,ocgt,2021-02-06T06:00:00,1.0,0.0
DE0,ocgt,2021-02-06T09:00:00,1.0,0.0
DE0,ocgt,2021-02-06T12:00:00,1.0,0.0
DE0,ocgt,2021-02-06T15:00:00,1.0,0.0
DE0,ocgt,2021-02-06T18:00:00,1.0,0.0
DE0,ocgt,2021-02-06T21:00:00,1.0,0.0
DE0,ocgt,2021-02-07T00:00:00,1.0,0.0
DE0,ocgt,2021-02-07T03:00:00,1.0,0.0
DE0,ocgt,2021-02-07T06:00:00,1.0,0.0
DE0,ocgt,2021-02-07T09:00:00,1.0,0.0
DE0,ocgt,2021-02-07T12:00:00,1.0,0.0
DE0,ocgt,2021-02-07T15:00:00,1.0,0.0
DE0,ocgt,2021-02-07T18:00:00,1.0,0.0
DE0,ocgt,2021-02-07T21:00:00,1.0,0.0
DE0,offwind,2021-01-25T00:00:00,1.0,0.0
DE0,offwind,2021-01-25T03:00:00,1.0,81.20436479999998
DE0,offwind,2021-01-25T06:00:00,1.0,116.82616319999995
DE0,offwind,2021-01-25T09:00:00,1.0,114.37896959999998
DE0,offwind,2021-01-25T12:00:00,1.0,0.0
DE0,offwind,2021-01-25T15:00:00,1.0,128.71404799999996
DE0,offwind,2021-01-25T18:00:00,1.0,167.4057728
DE0,offwind,2021-01-25T21:00:00,1.0,119.48371200000005
DE0,offwind,2021-01-26T00:00:00,1.0,148.35778559999997
DE0,offwind,2021-01-26T03:00:00,1.0,144.59208959999995
DE0,offwind,2021-01-26T06:00:00,1.0,116.47936
DE0,offwind,2021-01-26T09:00:00,1.0,0.0
DE0,offwind,2021-01-26T12:00:00,1.0,0.0
DE0,offwind,2021-01-26T15:00:00,1.0,0.0
DE0,offwind,2021-01-26T18:00:00,1.0,214.54878719999996
DE0,offwind,2021-01-26T21:00:00,1.0,179.54928640000003
DE0,offwind,2021-01-27T00:00:00,1.0,138.04339199999998
DE0,offwind,2021-01-27T03:00:00,1.0,124.51829759999997
DE0,offwind,2021-01-27T06:00:00,1.0,166.51893760000002
DE0,offwind,2021-01-27T09:00:00,1.0,0.0
DE0,offwind,2021-01-27T12:00:00,1.0,0.0
DE0,offwind,2021-01-27T15:00:00,1.0,128.39354880000002
DE0,offwind,2021-01-27T18:00:00,1.0,87.48518400000002
DE0,offwind,2021-01-27T21:00:00,1.0,50.088499200000015
DE0,offwind,2021-01-28T00:00:00,1.0,52.279295999999995
DE0,offwind,2021-01-28T03:00:00,1.0,44.462208000000004
DE0,offwind,2021-01-28T06:00:00,1.0,35.276800000000016
DE0,offwind,2021-01-28T09:00:00,1.0,26.429286400000013
DE0,offwind,2021-01-28T12:00:00,1.0,34.8461568
DE0,offwind,2021-01-28T15:00:00,1.0,25.6608
DE0,offwind,2021-01-28T18:00:00,1.0,36.608652800000016
DE0,offwind,2021-01-28T21:00:00,1.0,29.101260800000006
DE0,offwind,2021-01-29T00:00:00,1.0,57.57273599999999
DE0,offwind,2021-01-29T03:00:00,1.0,62.7490048
DE0,offwind,2021-01-29T06:00:00,1.0,37.4051328
DE0,offwind,2021-01-29T09:00:00,1.0,0.0
DE0,offwind,2021-01-29T12:00:00,1.0,0.0
DE0,offwind,2021-01-29T15:00:00,1.0,0.0
DE0,offwind,2021-01-29T18:00:00,1.0,53.86862079999999
DE0,offwind,2021-01-29T21:00:00,1.0,60.9403392
DE0,offwind,2021-01-30T00:00:00,1.0,98.04748799999997
DE0,offwind,2021-01-30T03:00:00,1.0,211.99426559999995
DE0,offwind,2021-01-30T06:00:00,1.0,123.50591999999999
DE0,offwind,2021-01-30T09:00:00,1.0,172.57570560000005
DE0,offwind,2021-01-30T12:00:00,1.0,154.96069120000004
DE0,offwind,2021-01-30T15:00:00,1.0,207.95494399999998
DE0,offwind,2021-01-30T18:00:00,1.0,193.60688639999995
DE0,offwind,2021-01-30T21:00:00,1.0,338.49140479999994
DE0,offwind,2021-01-31T00:00:00,1.0,232.4669184
DE0,offwind,2021-01-31T03:00:00,1.0,246.21909760000005
DE0,offwind,2021-01-31T06:00:00,1.0,229.00855039999996
DE0,offwind,2021-01-31T09:00:00,1.0,216.78028799999996
DE0,offwind,2021-01-31T12:00:00,1.0,198.37405440000003
DE0,offwind,2021-01-31T15:00:00,1.0,148.2355712
DE0,offwind,2021-01-31T18:00:00,1.0,204.4156928
DE0,offwind,2021-01-31T21:00:00,1.0,219.50184960000004
DE0,offwind,2021-02-01T00:00:00,1.0,166.08870399999998
DE0,offwind,2021-02-01T03:00:00,1.0,114.42007040000001
DE0,offwind,2021-02-01T06:00:00,1.0,157.02705919999997
DE0,offwind,2021-02-01T09:00:00,1.0,100.25966080000002
DE0,offwind,2021-02-01T12:00:00,1.0,75.57352959999999
DE0,offwind,2021-02-01T15:00:00,1.0,78.60103680000003
DE0,offwind,2021-02-01T18:00:00,1.0,77.71060480000001
DE0,offwind,2021-02-01T21:00:00,1.0,84.7501312
DE0,offwind,2021-02-02T00:00:00,1.0,51.31878399999999
DE0,offwind,2021-02-02T03:00:00,1.0,34.7531136
DE0,offwind,2021-02-02T06:00:00,1.0,37.22035200000001
DE0,offwind,2021-02-02T09:00:00,1.0,37.950950399999996
DE0,offwind,2021-02-02T12:00:00,1.0,37.8653184
DE0,offwind,2021-02-02T15:00:00,1.0,33.20697599999999
DE0,offwind,2021-02-02T18:00:00,1.0,24.040448000000005
DE0,offwind,2021-02-02T21:00:00,1.0,28.387328000000007
DE0,offwind,2021-02-03T00:00:00,1.0,40.9363968
DE0,offwind,2021-02-03T03:00:00,1.0,42.5990912
DE0,offwind,2021-02-03T06:00:00,1.0,41.60032
DE0,offwind,2021-02-03T09:00:00,1.0,39.93427199999999
DE0,offwind,2021-02-03T12:00:00,1.0,37.98144
DE0,offwind,2021-02-03T15:00:00,1.0,47.21473279999999
DE0,offwind,2021-02-03T18:00:00,1.0,70.6397696
DE0,offwind,2021-02-03T21:00:00,1.0,76.17542399999999
DE0,offwind,2021-02-04T00:00:00,1.0,122.11584000000002
DE0,offwind,2021-02-04T03:00:00,1.0,120.42201600000004
DE0,offwind,2021-02-04T06:00:00,1.0,196.4265984
DE0,offwind,2021-02-04T09:00:00,1.0,105.1271808
DE0,offwind,2021-02-04T12:00:00,1.0,134.2410496
DE0,offwind,2021-02-04T15:00:00,1.0,137.18318079999997
DE0,offwind,2021-02-04T18:00:00,1.0,139.35827199999997
DE0,offwind,2021-02-04T21:00:00,1.0,174.60186879999998
DE0,offwind,2021-02-05T00:00:00,1.0,140.11568640000002
DE0,offwind,2021-02-05T03:00:00,1.0,140.86912
DE0,offwind,2021-02-05T06:00:00,1.0,154.25918719999999
DE0,offwind,2021-02-05T09:00:00,1.0,167.95407359999996
DE0,offwind,2021-02-05T12:00:00,1.0,185.08872959999994
DE0,offwind,2021-02-05T15:00:00,1.0,128.86161920000004
DE0,offwind,2021-02-05T18:00:00,1.0,112.9255424
DE0,offwind,2021-02-05T21:00:00,1.0,144.4365824
DE0,offwind,2021-02-06T00:00:00,1.0,146.608128
DE0,offwind,2021-02-06T03:00:00,1.0,133.02625279999998
DE0,offwind,2021-02-06T06:00:00,1.0,138.19278080000004
DE0,offwind,2021-02-06T09:00:00,1.0,122.64029439999995
DE0,offwind,2021-02-06T12:00:00,1.0,111.00467199999996
DE0,offwind,2021-02-06T15:00:00,1.0,132.89858559999996
DE0,offwind,2021-02-06T18:00:00,1.0,116.37689600000002
DE0,offwind,2021-02-06T21:00:00,1.0,126.49054720000001
DE0,offwind,2021-02-07T00:00:00,1.0,73.85651200000001
DE0,offwind,2021-02-07T03:00:00,1.0,61.40019200000002
DE0,offwind,2021-02-07T06:00:00,1.0,32.00204799999999
DE0,offwind,2021-02-07T09:00:00,1.0,38.6328448
DE0,offwind,2021-02-07T12:00:00,1.0,40.8215808
DE0,offwind,2021-02-07T15:00:00,1.0,25.318655999999997
DE0,offwind,2021-02-07T18:00:00,1.0,20.3106432
DE0,offwind,2021-02-07T21:00:00,1.0,25.021644799999997
DE0,onwind,2021-01-25T00:00:00,1.0,0.0
DE0,onwind,2021-01-25T03:00:00,1.0,299.92632799999996
DE0,onwind,2021-01-25T06:00:00,1.0,431.4761359999998
DE0,onwind,2021-01-25T09:00:00,1.0,422.41508400000004
DE0,onwind,2021-01-25T12:00:00,1.0,0.0
DE0,onwind,2021-01-25T15:00:00,1.0,475.3280999999999
DE0,onwind,2021-01-25T18:00:00,1.0,618.30496
DE0,onwind,2021-01-25T21:00:00,1.0,441.2935800000002
DE0,onwind,2021-01-26T00:00:00,1.0,547.933464
DE0,onwind,2021-01-26T03:00:00,1.0,533.9777039999998
DE0,onwind,2021-01-26T06:00:00,1.0,430.2012
DE0,onwind,2021-01-26T09:00:00,1.0,0.0
DE0,onwind,2021-01-26T12:00:00,1.0,0.0
DE0,onwind,2021-01-26T15:00:00,1.0,0.0
DE0,onwind,2021-01-26T18:00:00,1.0,792.3676799999997
DE0,onwind,2021-01-26T21:00:00,1.0,663.1081600000002
DE0,onwind,2021-01-27T00:00:00,1.0,509.764944
DE0,onwind,2021-01-27T03:00:00,1.0,459.84650399999987
DE0,onwind,2021-01-27T06:00:00,1.0,614.963648
DE0,onwind,2021-01-27T09:00:00,1.0,0.0
DE0,onwind,2021-01-27T12:00:00,1.0,0.0
DE0,onwind,2021-01-27T15:00:00,1.0,474.18072000000006
DE0,onwind,2021-01-27T18:00:00,1.0,323.14464000000004
DE0,onwind,2021-01-27T21:00:00,1.0,184.97138400000003
DE0,onwind,2021-01-28T00:00:00,1.0,193.12737599999997
DE0,onwind,2021-01-28T03:00:00,1.0,164.19312000000002
DE0,onwind,2021-01-28T06:00:00,1.0,130.28990000000007
DE0,onwind,2021-01-28T09:00:00,1.0,97.60816000000005
DE0,onwind,2021-01-28T12:00:00,1.0,128.68533600000004
DE0,onwind,2021-01-28T15:00:00,1.0,94.77000000000001
DE0,onwind,2021-01-28T18:00:00,1.0,135.15346000000005
DE0,onwind,2021-01-28T21:00:00,1.0,107.45196800000001
DE0,onwind,2021-01-29T00:00:00,1.0,212.58353999999997
DE0,onwind,2021-01-29T03:00:00,1.0,231.81444
DE0,onwind,2021-01-29T06:00:00,1.0,138.18167999999997
DE0,onwind,2021-01-29T09:00:00,1.0,0.0
DE0,onwind,2021-01-29T12:00:00,1.0,0.0
DE0,onwind,2021-01-29T15:00:00,1.0,0.0
DE0,onwind,2021-01-29T18:00:00,1.0,198.90707199999994
DE0,onwind,2021-01-29T21:00:00,1.0,225.08366399999997
DE0,onwind,2021-01-30T00:00:00,1.0,362.10719999999986
DE0,onwind,2021-01-30T03:00:00,1.0,782.9956159999998
DE0,onwind,2021-01-30T06:00:00,1.0,456.1466
DE0,onwind,2021-01-30T09:00:00,1.0,637.3425240000001
DE0,onwind,2021-01-30T12:00:00,1.0,572.2795520000001
DE0,onwind,2021-01-30T15:00:00,1.0,767.9568
DE0,onwind,2021-01-30T18:00:00,1.0,715.0774799999999
DE0,onwind,2021-01-30T21:00:00,1.0,1250.1627319999998
DE0,onwind,2021-01-31T00:00:00,1.0,858.575796
DE0,onwind,2021-01-31T03:00:00,1.0,909.2856240000001
DE0,onwind,2021-01-31T06:00:00,1.0,845.812968
DE0,onwind,2021-01-31T09:00:00,1.0,800.54832
DE0,onwind,2021-01-31T12:00:00,1.0,732.6128160000002
DE0,onwind,2021-01-31T15:00:00,1.0,547.432704
DE0,onwind,2021-01-31T18:00:00,1.0,754.9443199999998
DE0,onwind,2021-01-31T21:00:00,1.0,810.6602400000002
DE0,onwind,2021-02-01T00:00:00,1.0,613.330328
DE0,onwind,2021-02-01T03:00:00,1.0,422.5537160000001
DE0,onwind,2021-02-01T06:00:00,1.0,579.9096159999999
DE0,onwind,2021-02-01T09:00:00,1.0,370.29075200000005
DE0,onwind,2021-02-01T12:00:00,1.0,279.1289279999999
DE0,onwind,2021-02-01T15:00:00,1.0,290.2879200000001
DE0,onwind,2021-02-01T18:00:00,1.0,287.04020800000006
DE0,onwind,2021-02-01T21:00:00,1.0,312.973024
DE0,onwind,2021-02-02T00:00:00,1.0,189.57910399999992
DE0,onwind,2021-02-02T03:00:00,1.0,128.338704
DE0,onwind,2021-02-02T06:00:00,1.0,137.46813600000004
DE0,onwind,2021-02-02T09:00:00,1.0,140.15976
DE0,onwind,2021-02-02T12:00:00,1.0,139.834968
DE0,onwind,2021-02-02T15:00:00,1.0,122.6394
DE0,onwind,2021-02-02T18:00:00,1.0,88.7536
DE0,onwind,2021-02-02T21:00:00,1.0,104.81588000000002
DE0,onwind,2021-02-03T00:00:00,1.0,151.15495199999998
DE0,onwind,2021-02-03T03:00:00,1.0,157.37436
DE0,onwind,2021-02-03T06:00:00,1.0,153.6795
DE0,onwind,2021-02-03T09:00:00,1.0,147.52009999999999
DE0,onwind,2021-02-03T12:00:00,1.0,140.27832
DE0,onwind,2021-02-03T15:00:00,1.0,174.431348
DE0,onwind,2021-02-03T18:00:00,1.0,260.83366399999994
DE0,onwind,2021-02-03T21:00:00,1.0,281.35458
DE0,onwind,2021-02-04T00:00:00,1.0,450.996
DE0,onwind,2021-02-04T03:00:00,1.0,444.7757600000001
DE0,onwind,2021-02-04T06:00:00,1.0,725.4658319999999
DE0,onwind,2021-02-04T09:00:00,1.0,388.2471320000001
DE0,onwind,2021-02-04T12:00:00,1.0,495.760616
DE0,onwind,2021-02-04T15:00:00,1.0,506.60375999999997
DE0,onwind,2021-02-04T18:00:00,1.0,514.7129
DE0,onwind,2021-02-04T21:00:00,1.0,644.863492
DE0,onwind,2021-02-05T00:00:00,1.0,517.492716
DE0,onwind,2021-02-05T03:00:00,1.0,520.2288000000001
DE0,onwind,2021-02-05T06:00:00,1.0,569.736024
DE0,onwind,2021-02-05T09:00:00,1.0,620.2379039999998
DE0,onwind,2021-02-05T12:00:00,1.0,683.5489439999998
DE0,onwind,2021-02-05T15:00:00,1.0,475.8848640000001
DE0,onwind,2021-02-05T18:00:00,1.0,417.0545599999999
DE0,onwind,2021-02-05T21:00:00,1.0,533.43056
DE0,onwind,2021-02-06T00:00:00,1.0,541.392696
DE0,onwind,2021-02-06T03:00:00,1.0,491.266412
DE0,onwind,2021-02-06T06:00:00,1.0,510.3535840000002
DE0,onwind,2021-02-06T09:00:00,1.0,452.9495359999998
DE0,onwind,2021-02-06T12:00:00,1.0,409.9929599999998
DE0,onwind,2021-02-06T15:00:00,1.0,490.8186399999999
DE0,onwind,2021-02-06T18:00:00,1.0,429.8621600000001
DE0,onwind,2021-02-06T21:00:00,1.0,467.115844
DE0,onwind,2021-02-07T00:00:00,1.0,272.83677200000005
DE0,onwind,2021-02-07T03:00:00,1.0,226.74288000000007
DE0,onwind,2021-02-07T06:00:00,1.0,118.19506399999997
DE0,onwind,2021-02-07T09:00:00,1.0,142.67812
DE0,onwind,2021-02-07T12:00:00,1.0,150.75231599999998
DE0,onwind,2021-02-07T15:00:00,1.0,93.50639999999999
DE0,onwind,2021-02-07T18:00:00,1.0,74.98374
DE0,onwind,2021-02-07T21:00:00,1.0,92.388608
DE0,solar,2021-01-25T00:00:00,1.0,0.0
DE0,solar,2021-01-25T03:00:00,1.0,0.0
